SA,Backend FastAPI,FastAPI,"Python311; Pydantic; Router; Service; Depends; httpx; 비동기; pydantic-settings","FastAPI 계층·검증·설정·외부 클라이언트·에러 처리·테스트 패턴을 표준화한다.","입력 검증 누락; 설정 유출; 비동기·의존성 구조 일관성 부족."
SA,Backend Spring Boot,SpringBoot,"Java21; Controller; Service; BeanValidation; RestClient; VirtualThreads; OpenAPI","Spring Boot 계층·검증·HTTP 클라이언트·예외·문서화·컨테이너 빌드 패턴을 규정한다.","검증·예외 응답 불일치; 외부 호출 설정 산재; 문서·런타임 버전 어긋남."
SA,비즈니스 스펙,요건,"템플릿; 무엇과왜; 이해관계자; 시나리오; 기능요건; 구현배제","기능의 목적·가치·사용 시나리오·요건을 기술 구현 없이 기술하는 공통 포맷이다.","요구와 설계 혼재; 범위·검수 기준 불명; PO·개발 간 오해."
SA,RAG,검색,"청킹; 임베딩; 벡터스토어; 하이브리드; MMR; 리랭킹; 오프라인; 온라인","문서 수집·임베딩·검색·생성까지 RAG 구성 요소와 모델·스토어 선택 기준을 정리한다.","환각·근거 부족; 다국어 검색 실패; 비용·지연 폭증."
SA,메시징·EDA,비동기,"Kafka; RabbitMQ; RedisStreams; 이벤트스키마; DLQ; ConsumerGroup","동기 HTTP 한계를 큐·이벤트로 완화하고 스키마·토픽·재처리·결합도 원칙을 제시한다.","장시간 작업 타임아웃; 장애 시 유실; 서비스 강결합; 트래픽 급증 시 다운."
SA,캐싱,캐시,"Redis; CDN; Cache-Aside; TTL; 키네이밍; ThunderingHerd; 무효화","레이어별 캐시 역할·Redis 자료구조·키 규칙·패턴·만료·일관성 전략을 정의한다.","불필요 외부·LLM 호출로 비용 증가; stale 응답; 키 충돌·무효화 혼란."
SA,Agent,ReAct,"Tool; max_iterations; AgentExecutor; LangChain; 파싱오류; 관찰성","에이전트 패턴·툴 설계·프롬프트·실행 한도·오류 처리·운영 관찰성을 규정한다.","무한 루프·비용 폭주; 툴 선택 오류; 파싱 실패 반복."
SA,Frontend,렌더링,"CSR; SSR; SSG; 컴포넌트; 상태관리; API레이어; AbortController; 에러UX","렌더링 전략 선택·UI 구조·상태·네트워크 취소·에러 계층을 프론트 공통 기준으로 둔다.","SEO·초기 로딩 실패; props drilling; 요청 취소·에러 UX 미흡."
SA,인증·Keycloak,인증,"Realm; OIDC; PKCE; JWT; JWKS; Role; ClientCredentials; Keycloak","Keycloak 기반 인증·토큰 검증·역할·백엔드 연동·특수 플로우를 서술한다.","토큰 위·변조; 역할 불일치; 브라우저 secret 노출; 세션 보안 사고."
SA,브랜치 전략,통합,"main; develop; feature; release; hotfix; PR; 보호규칙","영구·단기 브랜치 역할과 CI/CD·테스트 게이트와 맞는 머지 흐름을 정의한다.","릴리스·핫픽스 혼선; 직접 push; 통합선 불명으로 배포·리뷰 기준 흔들림."
SA,배포 전략,승급,"dev; staging; prod; 프로모션; Canary; 롤백; 테스트게이트","환경 승급·배포 전후 테스트 차단 조건·전략을 브랜치·CI/CD와 한 흐름으로 묶는다.","프로덕션에 검증 미완 배포; 롤백 절차 공백; 스테이징·운영 기준 불일치."
SA,데이터 파이프라인 Airflow,Airflow,"DAG; Executor; Raw; ODS; DW; MART; dbt; backfill","수집→저장→계층 적재를 Airflow·dbt 중심으로 설계하는 서비스 수준 기술 기준이다.","DAG 혼란; 재처리·리소스·품질 통제 부재; 레이어 경계 불명."
SA,데이터 파이프라인 ODS/DW/Mart,적층,"Landing; ODS; DW; Mart; DQ; 격리; 모니터링","Airflow 기반 ODS·DW·Mart 모델링·품질·재처리·보안 연계를 포괄한 파이프라인 표준이다.","분석 데이터 신뢰도 저하; 장애 복구·품질 검증 공백; 소비자 기대와 스키마 불일치."
